,Jurisdiction,Trump2024,Trump2020,Trump2016
1,Allegany,70.57567257,69.51804021,72.97992795
2,Anne Arundel,42.84446395,42.51573289,48.80074316
3,Baltimore City,12.54364772,10.90726205,11.06074303
4,Baltimore County,37.43510931,36.13396571,40.63100555
5,Calvert,55.60900775,52.87797551,58.95362717
6,Caroline,69.45893295,66.86825335,70.03064962
7,Carroll,62.81319346,62.28975733,68.66433913
8,Cecil,65.77020913,63.65464453,67.89594995
9,Charles,29.18001317,29.14985755,34.1725035
10,Dorchester,57.45227606,56.10396261,57.39527903
11,Frederick,45.48299176,45.05047504,51.29261315
12,Garrett,77.61513051,78.53170189,80.76144795
13,Harford,57.07786094,56.1916334,62.31940898
14,Howard,28.374352,27.21245283,31.63891499
15,Kent,51.4335923,49.36335994,51.59242408
16,Montgomery,22.56268804,19.43620377,20.57615178
17,Prince George's,11.48028548,8.909483111,8.706416176
18,Queen Anne's,64.18199727,63.63667233,68.06456781
19,Saint Mary's,58.79922259,57.12326736,62.04515445
20,Somerset,58.88021097,57.50501002,56.00293593
21,Talbot,50.01348678,49.73645947,55.34396449
22,Washington,61.7746866,60.6989799,65.99063209
23,Wicomico,52.7995963,50.98893284,55.15305108
24,Worcester,61.22945451,59.65436382,63.82820903
25,Totals,NA,NA,NA
